duration,epoch,mean_actor_loss,mean_critic_loss,mean_epoch_rewards,mean_epoch_steps,mean_q_value,test_epoch_rewards,test_epoch_steps,total_steps
567.2390522956848,1,0.92155564,0.20903583,-12.718682378151875,131.3421052631579,-0.92129326,-1.3974375344276464,124.3,5000
1152.3965113162994,2,0.9967234,0.2569932,-15.58921040436743,121.73170731707317,-0.9967191,-0.3793509216129807,126.85,10000
1729.1867456436157,3,0.9997152,0.25327718,-17.187319634905936,115.65,-0.9997153,-0.6750195338447915,127.36666666666666,15000
2300.53129196167,4,0.9999742,0.30295137,-15.533212568472466,115.3,-0.99997413,-0.3592640002459312,127.925,20000
2881.725192785263,5,0.9999974,0.30210137,-15.62471647782495,116.02,-0.99999726,-0.5176117577147509,128.22,25000
3449.706323623657,6,0.99999994,0.27371505,-14.757309027598197,116.14,-0.9999999,-0.5745774243176008,128.13333333333333,30000
4015.4857745170593,7,1.0,0.30469093,-13.522114203211522,120.09,-1.0,-0.8879210380128478,128.1,35000
4599.440493345261,8,1.0,0.30746344,-12.497856284902024,120.73,-1.0,-0.7709364315852547,128.05,40000
5181.436091899872,9,1.0,0.27084693,-13.1209346608949,116.06,-1.0,-0.8337869734750877,128.3111111111111,45000
5748.1464331150055,10,1.0,0.28588313,-12.454797668686801,117.12,-1.0,-0.7411254303252719,128.28,50000
6330.358576774597,11,1.0,0.29934102,-12.827181595111908,119.45,-1.0,-0.643188413027527,128.9,55000
6894.616536855698,12,1.0,0.3341188,-14.491808726737464,122.84,-1.0,-0.733276047928335,128.95,60000
7461.611546278,13,1.0,0.30381468,-13.491100196982657,123.02,-1.0,-0.735331141297819,128.8,65000
8031.170625448227,14,1.0,0.32970104,-12.298210187594554,121.09,-1.0,-1.0919962531518959,128.68,70000
8624.063521385193,15,1.0,0.33575258,-13.279862385240797,116.73,-1.0,-1.0517207010889078,128.65,75000
9201.361490011215,16,1.0,0.36225182,-14.315443897942902,116.3,-1.0,-1.259757258877757,128.24,80000
9775.132324457169,17,1.0,0.34241557,-14.085209933354855,116.26,-1.0,-0.9861825010061288,128.06,85000
10344.37384557724,18,1.0,0.34722236,-15.00707531470072,117.43,-1.0,-0.9571438106679941,128.15,90000
10917.56532406807,19,1.0,0.30031216,-14.404068892010564,117.95,-1.0,-1.1006877633047132,128.02,95000
11513.088861703873,20,1.0,0.30272397,-16.759333803666458,116.12,-1.0,-1.3312989736062317,127.77,100000
