duration,epoch,mean_actor_loss,mean_critic_loss,mean_epoch_rewards,mean_epoch_steps,mean_q_value,test_epoch_rewards,test_epoch_steps,total_steps
491.50797629356384,1,0.35823426,0.5920328,-7.41448176086634,129.21052631578948,-0.35814428,nan,nan,5000
1118.5822401046753,2,0.88919157,0.98104024,-6.7761371366468754,113.25287356321839,-0.8900569,-8.18297446816687,202.0,10000
1732.348303079605,3,0.9848683,0.8651519,-6.110899316027707,107.56,-0.9848535,-8.414704753848916,202.0,15000
2355.2484290599823,4,0.9980747,0.9004885,-6.976869735399945,111.89,-0.9980667,-7.0977065496766185,202.0,20000
2977.009110689163,5,0.99968314,1.032847,-6.4040671339490585,108.26,-0.9996834,-6.370547967135024,202.0,25000
3578.662472486496,6,0.99995697,0.90954643,-6.646693686978691,112.9,-0.999957,-7.128171679787735,202.0,30000
4188.060793399811,7,0.99999356,1.0387964,-7.997990662659097,112.17,-0.99999356,-6.767779023707361,202.0,35000
4807.908113002777,8,0.99999917,0.9227538,-8.310009675585931,108.58,-0.9999991,-6.504223774868882,202.0,40000
5429.800848722458,9,0.99999994,1.0179815,-7.372622265461822,107.42,-0.9999999,-6.920000913916359,202.0,45000
6067.251652002335,10,1.0,1.0457951,-6.518694529133008,99.14,-1.0,-7.083535832962515,202.0,50000
6691.046595096588,11,1.0,1.068138,-6.5646831688453595,101.13,-1.0,-6.738239578918769,202.0,55000
7344.684668064117,12,1.0,1.0636142,-7.122251507983952,102.36,-1.0,-7.02567490259138,202.0,60000
7971.136749982834,13,1.0,0.9439066,-8.280172981994527,99.87,-1.0,-7.036147158129545,202.0,65000
8606.088190078735,14,1.0,0.97314227,-8.47637456679998,99.91,-1.0,-6.74519691365575,202.0,70000
9218.29441189766,15,1.0,1.0901233,-5.605341419352346,102.52,-1.0,-7.362257592486503,202.0,75000
9867.813864469528,16,1.0,0.99625015,-4.284438605086751,103.22,-1.0,-6.749480402800154,202.0,80000
10485.507586479187,17,1.0,1.1599349,-6.427863831784334,102.7,-1.0,-7.13021831376882,202.0,85000
11103.742037057877,18,1.0,1.0234327,-6.746059362931282,109.15,-1.0,-7.160014484259806,202.0,90000
11716.95958518982,19,1.0,1.0849018,-7.541394108965768,109.44,-1.0,-6.970894306573012,202.0,95000
12321.59617137909,20,1.0,1.14784,-7.503256292134811,112.08,-1.0,-6.938948581083578,202.0,100000
12930.531418085098,21,1.0,1.0335256,-9.33185942775649,110.94,-1.0,-7.689971229984253,200.92,105000
13550.684890031815,22,1.0,1.0767221,-8.85008908324284,103.31,-1.0,-7.598759928429607,200.92,110000
14177.538963079453,23,1.0,1.076756,-9.244515537992667,98.01,-1.0,-7.760144189982473,200.92,115000
14795.337261676788,24,1.0,0.9281339,-8.901944219160304,102.63,-1.0,-8.766734386410139,200.92,120000
15398.62500667572,25,1.0,0.8631169,-7.5377041720448865,110.79,-1.0,-8.060974776300409,199.89,125000
16006.71877336502,26,1.0,0.99414134,-8.276787923396904,110.93,-1.0,-8.337776189945366,199.89,130000
16611.116197109222,27,1.0,0.93845534,-7.423061580747646,113.0,-1.0,-8.710813488383064,199.89,135000
17238.4410572052,28,1.0,1.0730449,-6.676991046131733,110.3,-1.0,-9.082837185581813,199.89,140000
17880.078335285187,29,1.0,1.1095239,-8.112350741617101,98.98,-1.0,-8.63207619957872,199.89,145000
18498.987021446228,30,1.0,0.9641216,-8.280312382720826,99.89,-1.0,-8.744229167024606,199.89,150000
19128.98311495781,31,1.0,0.9623652,-8.050408628601428,103.35,-1.0,-8.226815700108467,200.97,155000
