duration,epoch,mean_actor_loss,mean_critic_loss,mean_epoch_rewards,mean_epoch_steps,mean_q_value,test_epoch_rewards,test_epoch_steps,total_steps
598.1250157356262,1,0.8525252,3.2355945,-17.55486670514083,119.39024390243902,-0.8526143,-2.42290821529627,119.6,5000
1208.5938239097595,2,0.98788214,5.2190523,-16.940050900482817,116.04651162790698,-0.9878922,-1.6888978977024578,120.45,10000
1833.9647772312164,3,0.9986341,4.1739774,-16.45363135758259,108.34,-0.9986344,-1.310618504703047,121.1,15000
2413.1385633945465,4,0.9998079,3.1870325,-14.312000353066685,111.7,-0.9998077,-1.0708814362198134,121.175,20000
3013.99268245697,5,0.99997497,4.86903,-13.123339332169378,118.34,-0.999975,-1.0162126942372338,120.84,25000
3639.793735265732,6,0.9999971,4.9111843,-15.332273595835506,109.6,-0.99999696,-1.339976586486898,120.75,30000
4250.196635484695,7,0.99999976,3.2003753,-16.308876374464834,106.48,-0.9999998,-2.0549667376433125,120.21428571428571,35000
4874.836554765701,8,0.99999994,3.7517297,-16.292514379433566,105.06,-0.9999999,-1.9821308322712805,120.2125,40000
5494.4721620082855,9,1.0,4.129649,-13.271691480777001,106.46,-1.0,-1.8717589647226893,119.97777777777777,45000
6110.733881950378,10,1.0,4.22624,-12.291520234877737,109.36,-1.0,-1.7982401443040397,120.33,50000
6755.24392747879,11,1.0,4.4952617,-13.874321180654498,106.46,-1.0,-1.4297663393855122,120.37,55000
7390.416225671768,12,1.0,3.9384072,-17.513352219967906,105.39,-1.0,-1.562331424243453,120.7,60000
8016.014045715332,13,1.0,4.9888563,-13.449550896040204,109.66,-1.0,-1.8158924050974878,120.6,65000
8654.36420583725,14,1.0,5.0439286,-11.032926906162547,107.85,-1.0,-1.7810621475386652,120.94,70000
9291.154362678528,15,1.0,5.1187196,-14.802315735483102,104.02,-1.0,-2.302230851237778,120.65,75000
9948.003862857819,16,1.0,6.3127165,-18.550261121707745,101.25,-1.0,-2.070552860291007,120.82,80000
10580.286834955215,17,1.0,5.9868026,-17.361161782763528,102.67,-1.0,-1.5729871479272872,120.93,85000
11198.469535589218,18,1.0,4.053258,-15.63457488749072,106.26,-1.0,-1.6472075329828288,121.01,90000
11826.195055007935,19,1.0,6.276535,-13.050367605669718,109.01,-1.0,-1.5455817215299632,121.44,95000
12448.556277513504,20,1.0,5.8228655,-16.392409433629755,108.79,-1.0,-1.1702050250577951,121.52,100000
13065.169957637787,21,1.0,5.7070866,-16.495074833780176,107.35,-1.0,-1.6781202716970471,121.22,105000
13692.977638244629,22,1.0,4.833338,-14.916447322486324,105.66,-1.0,-1.5546463776731514,120.81,110000
14295.230848789215,23,1.0,5.115119,-12.789068378972626,110.02,-1.0,-1.3215884166479135,120.55,115000
14904.435225248337,24,1.0,4.5242634,-10.874557468705706,112.47,-1.0,-1.8721381006038214,119.69,120000
15505.392533063889,25,1.0,3.98433,-13.017653693281572,114.43,-1.0,-1.4159098644053956,120.02,125000
16130.85943889618,26,1.0,3.851167,-15.774489418650438,108.29,-1.0,-1.4605007389485858,119.48,130000
16746.224715709686,27,1.0,4.44349,-17.39150115759984,104.71,-1.0,-1.7126061352813267,119.54,135000
17355.572219133377,28,1.0,3.7075393,-16.694447057982536,111.73,-1.0,-1.7158240384185337,119.47,140000
17985.548183202744,29,1.0,4.7305856,-14.27764780648327,112.98,-1.0,-1.9145741734778907,119.32,145000
