episodes,mean_100ep_reward,steps,time_exploring
20,-0.52,1019,90
40,-0.48,2039,80
60,-0.81,3053,70
80,-1.02,4073,60
100,-0.7,5085,50
120,-1.43,6044,40
140,-2.3,6890,32
160,-1.44,7686,24
180,-1.63,8587,15
200,-2.75,9371,8
220,0.98,10031,2
240,5.8,10655,2
260,17.91,11575,2
280,30.36,12470,2
300,44.89,13419,2
320,55.81,14353,2
340,64.2,15232,2
360,64.54,16117,2
380,66.11,17038,2
400,66.61,17978,2
420,65.49,18916,2
440,66.84,19852,2
460,67.89,20810,2
480,66.54,21718,2
500,65.1,22636,2
520,65.56,23549,2
540,65.07,24494,2
560,64.74,25433,2
580,64.18,26332,2
600,63.03,27227,2
620,61.42,28119,2
640,62.2,29066,2
660,61.45,30013,2
680,62.08,30912,2
700,62.58,31818,2
720,64.26,32736,2
740,64.28,33687,2
760,64.41,34617,2
780,63.19,35523,2
800,62.76,36415,2
820,61.07,37327,2
840,59.58,38255,2
860,60.11,39189,2
880,61.08,40080,2
900,61.18,40938,2
920,63.18,41861,2
940,63.73,42816,2
960,62.51,43725,2
980,62.74,44638,2
1000,63.53,45554,2
1020,62.64,46501,2
1040,61.94,47436,2
1060,62.45,48391,2
1080,64.58,49364,2
1100,65.36,50300,2
1120,65.8,51217,2
1140,66.23,52123,2
1160,65.6,53047,2
1180,61.69,53978,2
1200,61.65,54915,2
1220,62.65,55867,2
1240,59.5,56702,2
1260,59.74,57626,2
1280,61.36,58550,2
1300,58.32,59403,2
1320,55.03,60358,2
1340,54.72,61342,2
1360,49.84,62310,2
1380,46.79,63297,2
1400,46.63,64237,2
1420,47.89,65137,2
1440,49.56,66105,2
1460,54.58,67039,2
1480,51.56,67996,2
1500,51.48,68952,2
1520,46.93,69923,2
1540,43.27,70927,2
1560,36.97,71907,2
1580,42.51,72892,2
1600,42.57,73798,2
1620,40.69,74798,2
1640,45.59,75723,2
1660,50.67,76675,2
1680,49.21,77645,2
1700,43.45,78634,2
1720,48.21,79619,2
