episodes,mean_100ep_reward,steps,time_exploring
20,-2.92,890,91
40,-1.79,1566,84
60,-3.54,2047,79
80,-2.31,2750,73
100,-2.47,3346,67
120,-13.9,3846,62
140,-25.74,4361,57
160,-62.21,4657,54
180,-81.68,5082,50
200,-99.82,5553,45
220,-105.96,5952,41
240,-95.0,6415,37
260,-57.38,6796,33
280,-57.65,7209,29
300,-39.34,7699,24
320,-20.65,8037,21
340,-19.73,8392,17
360,-29.7,8755,14
380,-35.84,9134,10
400,-60.69,9510,6
420,-104.2,9913,2
440,-129.64,10307,2
460,-171.25,10711,2
480,-215.83,11146,2
500,-233.26,11525,2
520,-270.29,11933,2
540,-297.14,12330,2
560,-306.22,12727,2
580,-296.98,13135,2
600,-334.57,13579,2
620,-306.69,14006,2
640,-288.94,14372,2
660,-244.13,14778,2
680,-227.98,15153,2
700,-190.76,15538,2
