episodes,mean_100ep_reward,steps,time_exploring
20,-0.13,3908,61
40,-0.17,7409,27
60,-0.36,9796,3
80,-0.4,11929,2
100,-0.41,14391,2
100,-0.41,14460,2
100,-0.41,14662,2
100,-0.41,14864,2
100,-0.41,15066,2
100,-0.41,15268,2
100,-0.42,15359,2
100,-0.42,15561,2
100,-0.42,15763,2
100,-0.43,15861,2
100,-0.43,16024,2
100,-0.42,16226,2
100,-0.42,16398,2
100,-0.42,16493,2
100,-0.42,16594,2
100,-0.43,16713,2
100,-0.45,16827,2
100,-0.44,17029,2
100,-0.43,17231,2
100,-0.43,17357,2
100,-0.42,17559,2
100,-0.42,17761,2
100,-0.42,17960,2
100,-0.42,18162,2
100,-0.41,18364,2
100,-0.4,18566,2
100,-0.4,18715,2
100,-0.39,18917,2
100,-0.39,19119,2
100,-0.39,19283,2
100,-0.39,19485,2
100,-0.38,19687,2
100,-0.38,19814,2
100,-0.38,19926,2
100,-0.36,20128,2
100,-0.37,20266,2
100,-0.38,20407,2
100,-0.36,20605,2
100,-0.36,20760,2
100,-0.36,20898,2
100,-0.38,21034,2
100,-0.36,21236,2
100,-0.36,21438,2
100,-0.37,21546,2
100,-0.35,21748,2
100,-0.35,21834,2
100,-0.34,22008,2
100,-0.34,22188,2
100,-0.34,22340,2
100,-0.32,22454,2
100,-0.32,22612,2
100,-0.31,22730,2
100,-0.31,22840,2
100,-0.3,23042,2
100,-0.29,23175,2
100,-0.28,23377,2
100,-0.29,23518,2
100,-0.29,23636,2
100,-0.28,23838,2
100,-0.29,23950,2
100,-0.28,24104,2
100,-0.27,24306,2
100,-0.28,24508,2
100,-0.28,24631,2
100,-0.3,24779,2
100,-0.3,24981,2
100,-0.29,25154,2
100,-0.29,25345,2
100,-0.28,25547,2
100,-0.28,25649,2
100,-0.26,25851,2
100,-0.25,26053,2
100,-0.23,26255,2
100,-0.22,26457,2
100,-0.21,26646,2
100,-0.19,26772,2
100,-0.18,26974,2
100,-0.17,27176,2
100,-0.17,27378,2
100,-0.17,27528,2
100,-0.15,27730,2
100,-0.15,27845,2
100,-0.14,28047,2
100,-0.12,28199,2
100,-0.11,28387,2
100,-0.1,28541,2
