episodes,mean_100ep_reward,steps,time_exploring
20,1.22,1019,90
40,-1.5,2039,80
60,-2.09,3059,70
80,-3.79,4079,60
100,-4.74,5099,50
120,-8.12,6119,40
140,-9.95,7139,30
160,-7.71,8149,20
180,-0.0,9069,11
200,11.68,9880,3
220,28.23,10568,2
240,44.06,11235,2
260,54.13,11980,2
280,61.69,12666,2
300,64.95,13373,2
320,66.17,14011,2
340,64.7,14792,2
360,64.45,15572,2
380,63.25,16294,2
400,62.66,16989,2
420,59.83,17744,2
440,60.71,18454,2
460,62.55,19171,2
480,62.13,19920,2
500,63.35,20587,2
520,63.61,21305,2
540,64.89,21965,2
560,64.86,22666,2
580,66.75,23330,2
600,65.17,24044,2
620,65.37,24777,2
640,65.98,25442,2
660,66.46,26100,2
680,64.08,26860,2
700,64.99,27554,2
720,64.49,28302,2
740,61.94,29058,2
760,62.15,29719,2
780,65.53,30366,2
800,64.64,31076,2
820,64.1,31880,2
840,65.87,32570,2
860,63.64,33331,2
880,61.62,34028,2
900,62.23,34726,2
920,62.92,35446,2
940,63.74,36111,2
960,66.11,36809,2
980,66.12,37513,2
1000,65.58,38216,2
1020,65.87,38914,2
1040,63.15,39634,2
1060,62.44,40342,2
1080,64.12,40997,2
1100,64.62,41681,2
1120,64.93,42390,2
1140,65.71,43086,2
1160,64.21,43827,2
1180,63.12,44524,2
1200,63.86,45182,2
1220,64.31,45898,2
1240,62.2,46701,2
1260,63.2,47409,2
1280,63.07,48093,2
1300,62.8,48759,2
1320,62.7,49431,2
1340,63.87,50168,2
