episodes,mean_100ep_reward,steps,time_exploring
20,4.42,4039,60
40,4.54,7874,22
60,4.67,11546,2
80,5.35,15480,2
100,6.83,19341,2
120,8.51,23059,2
140,10.14,26864,2
160,11.6,30657,2
180,11.18,34657,2
200,9.49,38264,2
220,8.33,42250,2
240,7.1,45809,2
260,5.66,49656,2
280,5.56,53384,2
300,5.96,57114,2
320,6.18,60899,2
340,6.49,64939,2
360,7.69,68822,2
380,8.56,72821,2
400,9.39,76808,2
420,8.82,80845,2
440,8.61,84873,2
460,6.41,88709,2
480,4.83,92656,2
500,3.4,96696,2
520,3.74,100736,2
540,4.07,104710,2
560,6.5,108750,2
580,8.39,112676,2
600,10.4,116716,2
620,11.04,120621,2
640,12.17,124585,2
660,13.13,128625,2
680,13.08,132598,2
700,13.7,136548,2
720,14.39,140510,2
740,14.79,144550,2
760,14.16,148590,2
780,15.06,152508,2
800,15.09,156548,2
820,15.26,160491,2
840,13.38,164278,2
860,12.43,168304,2
880,12.03,172305,2
900,10.8,176101,2
920,10.42,180048,2
940,11.87,183935,2
960,13.02,187895,2
980,14.13,191885,2
1000,15.31,195730,2
1020,16.03,199677,2
1040,15.82,203562,2
1060,15.13,207396,2
1080,14.37,211343,2
1100,14.96,215362,2
1120,15.09,219339,2
1140,15.11,223379,2
1160,15.39,227208,2
1180,15.13,231108,2
1200,14.68,235148,2
1220,13.96,239123,2
1240,14.64,243023,2
1260,15.98,246983,2
1280,16.81,250942,2
1300,16.49,254720,2
1320,17.51,258638,2
1340,17.76,262511,2
1360,17.71,266357,2
1380,18.2,270194,2
1400,18.04,274156,2
1420,18.04,278110,2
1440,17.78,282042,2
1460,17.22,285894,2
1480,16.63,289894,2
1500,17.11,293934,2
1520,16.85,297742,2
1540,17.09,301682,2
1560,17.03,305663,2
1580,17.54,309640,2
1600,17.92,313586,2
1620,18.41,317525,2
1640,18.47,321451,2
1660,18.7,325405,2
1680,18.6,329353,2
1700,17.9,333380,2
1720,17.94,337389,2
1740,18.74,341429,2
1760,18.34,345052,2
1780,17.34,348982,2
1800,17.91,352922,2
1820,17.75,356827,2
1840,16.71,360744,2
1860,16.87,364586,2
1880,17.37,368540,2
1900,17.4,372537,2
1920,17.59,376442,2
1940,18.67,380429,2
1960,19.39,384359,2
1980,20.36,388353,2
2000,20.25,392299,2
2020,20.76,395978,2
2040,20.37,399961,2
2060,19.93,403949,2
2080,18.9,407818,2
2100,19.17,411858,2
2120,19.04,415732,2
2140,19.06,419560,2
2160,19.14,423576,2
2180,20.59,427616,2
2200,20.57,431558,2
2220,19.96,435598,2
