episodes,mean_100ep_reward,steps,time_exploring
20,-0.23,1003,90
40,-0.82,2021,80
60,-0.12,2943,71
80,-0.71,3831,62
100,-1.47,4687,54
120,-0.89,5524,45
140,-0.11,6329,37
160,-0.33,6930,32
180,3.13,7693,24
200,7.71,8510,16
220,13.41,9356,8
240,23.02,10292,2
260,34.85,11229,2
280,44.31,12174,2
300,53.64,13120,2
320,58.37,14015,2
340,58.95,14897,2
360,58.59,15821,2
380,60.16,16778,2
400,60.06,17722,2
420,62.73,18678,2
440,65.45,19639,2
460,67.53,20606,2
480,65.69,21515,2
500,63.44,22408,2
520,64.13,23377,2
540,63.1,24327,2
560,62.32,25264,2
580,63.6,26213,2
600,65.97,27153,2
620,63.18,28081,2
640,64.03,29038,2
660,64.7,30001,2
680,63.38,30930,2
700,62.82,31873,2
720,63.45,32792,2
740,63.43,33773,2
760,63.37,34720,2
780,62.86,35640,2
800,60.94,36515,2
820,58.99,37422,2
840,58.52,38348,2
860,56.94,39311,2
880,53.19,40207,2
900,51.65,41094,2
920,51.11,41985,2
940,47.39,42831,2
960,33.41,43390,2
980,23.66,43963,2
1000,12.78,44544,2
1020,0.59,45100,2
1040,-11.1,45682,2
1060,-11.66,46224,2
1080,-12.29,46768,2
1100,-13.16,47314,2
1120,-13.62,47859,2
1140,-13.14,48432,2
1160,-12.93,49009,2
1180,-11.55,49794,2
1200,-8.5,50661,2
1220,-4.54,51654,2
1240,-2.4,52674,2
1260,-0.86,53585,2
1280,-0.02,54442,2
1300,0.53,55441,2
1320,-0.53,56459,2
1340,3.75,57461,2
1360,8.23,58393,2
1380,10.87,59391,2
1400,13.96,60368,2
1420,22.58,61280,2
1440,28.13,62198,2
1460,33.27,63179,2
1480,43.59,64141,2
1500,50.32,65145,2
1520,46.25,66126,2
1540,42.92,67130,2
1560,42.6,68060,2
1580,39.21,68997,2
1600,36.94,69919,2
1620,42.61,70869,2
1640,45.41,71852,2
1660,48.08,72791,2
1680,47.44,73788,2
1700,46.62,74786,2
1720,43.28,75775,2
1740,41.96,76765,2
1760,33.97,77754,2
1780,36.13,78752,2
1800,37.3,79724,2
1820,35.37,80736,2
1840,38.79,81704,2
1860,48.0,82649,2
1880,49.37,83591,2
1900,47.47,84584,2
1920,52.63,85564,2
1940,46.43,86565,2
1960,35.66,87585,2
1980,27.1,88591,2
2000,24.82,89609,2
2020,20.18,90563,2
2040,17.66,91583,2
2060,16.95,92603,2
2080,14.13,93623,2
2100,9.36,94643,2
2120,4.41,95663,2
2140,1.69,96683,2
2160,0.74,97703,2
2180,-0.23,98723,2
2200,-0.23,99743,2
2220,-0.91,100763,2
2240,-0.19,101783,2
2260,0.74,102803,2
2280,1.39,103822,2
2300,1.39,104842,2
2320,1.48,105862,2
2340,0.66,106882,2
2360,-0.28,107902,2
2380,-0.92,108922,2
2400,-0.92,109942,2
2420,-1.01,110962,2
2440,-1.01,111982,2
2460,-1.05,112978,2
2480,-1.05,113998,2
2500,-1.08,115002,2
2520,-0.43,116006,2
2540,-0.42,117009,2
2560,-0.14,118029,2
2580,0.36,119049,2
2600,-0.03,120051,2
2620,-2.26,120840,2
2640,-4.52,121586,2
2660,-7.54,122184,2
2680,-10.54,122962,2
2700,-10.65,123913,2
2720,-8.75,124933,2
2740,-6.48,125953,2
2760,-3.7,126973,2
2780,-1.1,127993,2
2800,-0.47,129013,2
2820,-0.61,130033,2
2840,-0.61,131053,2
2860,-0.12,132073,2
2880,-0.51,133081,2
2900,-0.61,134101,2
2920,-1.92,135044,2
2940,-1.92,136064,2
2960,-2.45,137072,2
2980,-1.99,138092,2
3000,-1.49,139112,2
3020,-0.26,140132,2
3040,-1.04,141002,2
3060,-1.78,141936,2
3080,-2.27,142910,2
3100,-2.38,143929,2
3120,-2.15,144949,2
3140,-0.2,145944,2
3160,1.13,146945,2
3180,1.74,147965,2
3200,1.3,148985,2
3220,0.81,149986,2
3240,-0.18,151006,2
3260,-0.59,152026,2
3280,-0.87,153034,2
3300,-0.62,154050,2
3320,-1.06,155070,2
3340,-1.11,156072,2
3360,1.72,157034,2
3380,5.22,158014,2
3400,12.86,158981,2
3420,18.53,159983,2
3440,18.98,160989,2
3460,17.33,162002,2
3480,14.21,163005,2
3500,8.85,164005,2
3520,5.85,165024,2
3540,5.91,166014,2
3560,7.32,167032,2
3580,9.79,168028,2
3600,10.98,169040,2
3620,13.58,170053,2
3640,17.13,171072,2
3660,17.0,172088,2
3680,14.92,173093,2
3700,13.22,174084,2
3720,11.06,175091,2
3740,7.82,175994,2
3760,8.79,176964,2
3780,14.35,177965,2
3800,14.26,178984,2
3820,12.83,179977,2
3840,16.84,180960,2
3860,14.17,181944,2
3880,7.92,182962,2
3900,5.71,183898,2
3920,2.76,184638,2
3940,-3.33,185546,2
3960,-3.58,186505,2
3980,1.32,187466,2
4000,5.32,188476,2
4020,9.34,189493,2
4040,10.99,190513,2
4060,11.1,191533,2
4080,8.08,192553,2
4100,4.3,193543,2
4120,2.63,194563,2
4140,2.4,195583,2
4160,1.71,196603,2
4180,0.24,197623,2
4200,0.36,198643,2
4220,0.0,199663,2
4240,-0.11,200683,2
4260,1.47,201702,2
4280,2.03,202722,2
4300,2.54,203742,2
4320,2.4,204762,2
4340,2.23,205782,2
4360,0.58,206802,2
4380,-0.25,207822,2
4400,0.53,208842,2
4420,0.53,209862,2
4440,0.54,210861,2
4460,0.01,211831,2
4480,-1.08,212808,2
4500,-2.81,213806,2
4520,-2.8,214826,2
4540,-2.77,215846,2
4560,-2.25,216866,2
4580,-0.98,217879,2
4600,-0.91,218861,2
4620,-1.37,219872,2
4640,-1.42,220892,2
4660,-1.36,221912,2
4680,-1.78,222932,2
4700,-0.19,223933,2
4720,0.24,224949,2
4740,0.58,225968,2
4760,-0.04,226855,2
4780,-1.96,227698,2
4800,-3.92,228717,2
4820,-3.05,229727,2
4840,-3.62,230747,2
4860,-3.05,231767,2
4880,-1.15,232787,2
4900,0.79,233805,2
4920,1.89,234768,2
4940,3.39,235783,2
4960,2.95,236711,2
4980,2.91,237731,2
5000,1.19,238693,2
5020,-0.88,239713,2
5040,-2.42,240732,2
5060,-2.07,241750,2
5080,-1.81,242770,2
5100,-0.41,243785,2
5120,0.08,244802,2
5140,-0.06,245812,2
5160,0.25,246832,2
5180,0.09,247792,2
